epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5358,2.57006,3.44506,1.86874,0.62987,0.60519,0.62755,0.24318,2.08095,4.99531,1.38136,0.00022,0.00022,0.00022
2,30.725,1.88364,1.42896,1.31041,0.83678,0.70918,0.79791,0.30401,2.06569,2.25063,1.40788,0.00044482,0.00044482,0.00044482
3,35.4979,1.87914,1.17222,1.26699,0.56724,0.68012,0.5181,0.1905,2.07387,2.00913,1.35955,0.0006538,0.0006538,0.0006538
4,39.5833,1.85631,1.03253,1.23307,0.62634,0.51297,0.54919,0.18266,2.22679,1.65398,1.40627,0.00084694,0.00084694,0.00084694
5,43.633,1.86782,1.0093,1.25341,0.39087,0.46601,0.30157,0.11567,2.16903,1.64204,1.38824,0.00102424,0.00102424,0.00102424
6,48.5157,1.84593,0.98108,1.24067,0.62021,0.72911,0.61547,0.22854,2.05327,1.16059,1.31508,0.0011857,0.0011857,0.0011857
7,52.5476,1.80146,1.08154,1.25664,0.48802,0.61807,0.43093,0.15662,2.0743,1.49622,1.32374,0.00133132,0.00133132,0.00133132
8,56.5783,1.78788,0.93314,1.24408,0.84468,0.72095,0.77605,0.30085,2.02351,1.04798,1.28422,0.0014611,0.0014611,0.0014611
9,61.2384,1.83285,0.89129,1.24944,0.70359,0.70605,0.66946,0.2411,2.12086,1.22715,1.35383,0.001472,0.001472,0.001472
10,65.2249,1.82736,0.90706,1.25451,0.75747,0.72005,0.77228,0.30181,2.0003,1.12067,1.27196,0.001406,0.001406,0.001406
11,69.1623,1.73212,0.85701,1.21,0.85024,0.77233,0.85016,0.30551,2.08934,1.02169,1.27691,0.00134,0.00134,0.00134
12,73.8957,1.7088,0.80898,1.19693,0.8721,0.74352,0.82449,0.3205,2.07582,1.05137,1.30599,0.001274,0.001274,0.001274
13,78.088,1.71378,0.81426,1.1753,0.8408,0.76945,0.85133,0.32823,2.01194,0.97918,1.27455,0.001208,0.001208,0.001208
14,82.1407,1.69998,0.81594,1.2115,0.77925,0.76299,0.77392,0.29388,2.0637,1.03262,1.31667,0.001142,0.001142,0.001142
15,86.7947,1.74354,0.80461,1.19836,0.88159,0.77245,0.83634,0.33139,2.02551,0.9411,1.27151,0.001076,0.001076,0.001076
16,90.9074,1.76,0.82884,1.18485,0.87393,0.83902,0.87773,0.34523,2.02916,0.90353,1.28097,0.00101,0.00101,0.00101
17,95.0303,1.68423,0.79773,1.17487,0.84512,0.78963,0.82908,0.32926,2.02666,0.94337,1.26164,0.000944,0.000944,0.000944
18,99.7249,1.63092,0.75095,1.17276,0.89412,0.77879,0.86493,0.35976,1.9696,0.9386,1.2531,0.000878,0.000878,0.000878
19,103.764,1.65257,0.75722,1.13581,0.87004,0.80403,0.85562,0.36827,1.94031,0.94244,1.24043,0.000812,0.000812,0.000812
20,107.906,1.6198,0.73737,1.16449,0.90771,0.79362,0.86554,0.38043,1.9785,0.91807,1.274,0.000746,0.000746,0.000746
21,114.963,1.6459,0.76991,1.18947,0.90241,0.80692,0.87455,0.37125,1.9403,0.90643,1.23329,0.00068,0.00068,0.00068
22,119.169,1.60664,0.74377,1.15969,0.92308,0.79547,0.88623,0.37217,1.97444,0.85676,1.25053,0.000614,0.000614,0.000614
23,123.974,1.57959,0.71237,1.16017,0.89228,0.77522,0.86846,0.35544,1.97515,0.886,1.24883,0.000548,0.000548,0.000548
24,128.006,1.59306,0.72174,1.16677,0.86463,0.82997,0.88023,0.35858,1.9775,0.90385,1.25143,0.000482,0.000482,0.000482
25,131.938,1.55018,0.69249,1.14801,0.88453,0.83887,0.90128,0.38064,1.94462,0.87185,1.24322,0.000416,0.000416,0.000416
26,136.78,1.54641,0.67735,1.14688,0.87588,0.83862,0.90165,0.38317,1.99554,0.84771,1.25834,0.00035,0.00035,0.00035
27,141.108,1.54847,0.66417,1.1554,0.89639,0.84774,0.90223,0.37472,1.99626,0.84867,1.23189,0.000284,0.000284,0.000284
28,145.037,1.5147,0.66487,1.11643,0.8928,0.84002,0.89539,0.38868,1.94306,0.82144,1.21612,0.000218,0.000218,0.000218
29,149.758,1.52851,0.65656,1.13596,0.89683,0.85176,0.90216,0.38486,1.96237,0.81251,1.23215,0.000152,0.000152,0.000152
30,153.884,1.47918,0.63057,1.13724,0.91036,0.84877,0.90689,0.38795,1.97155,0.81695,1.23222,8.6e-05,8.6e-05,8.6e-05
